dbn,X..of.SAT.Takers.in.2014,Avg.SAT.Critical.Reading.Score.in.2014,Avg.SAT.Math.Scores.in.2014,Avg.SAT.Writing.Scores.in.2014,school_name,grade_span_min,grade_span_max,zip,total_students,school_type,advancedplacement_courses,online_ap_courses,start_time,end_time
06M346,56,369,362,366,Community Health Academy of the Heights,6,12,10032,600,,English Language and Composition; Spanish Literature and Culture; Studio Art: 2-D Design; United States History,,8:15 AM,3:00 PM
06M348,91,413,419,404,Washington Heights Expeditionary Learning School,6,12,10033,650,,English Language and Composition; Spanish Language and Culture; Spanish Literature and Culture; Statistics,,8:00 AM,3:00 PM
06M423,s,s,s,s,High School for Excellence and Innovation,9,12,10034,223,,English Literature and Composition,,8:45 AM,3:30 PM
06M457,s,s,s,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06M462,58,380,390,380,The College Academy,9,12,10040,546,,Biology; English Language and Composition; Spanish Language and Culture; United States History,,8:00 AM,3:45 PM
06M463,59,360,365,361,High School for Media and Communications,9,12,10040,523,,Calculus AB; Comparative Government and Politics; English Language and Composition; English Literature and Composition; Spanish Language and Culture; Spanish Literature and Culture; United States Government and Politics,,8:00 AM,3:45 PM
06M467,97,371,359,361,High School for Law and Public Service,9,12,10040,679,,Calculus AB; Chemistry; Comparative Government and Politics; English Language and Composition; Environmental Science; Psychology; Spanish Language and Culture; Spanish Literature and Culture; United States Government and Politics; United States History; World History,,8:00 AM,3:45 PM
06M468,85,369,384,370,High School for Health Careers and Sciences,9,12,10040,624,,Calculus AB; English Literature and Composition; Spanish Language and Culture; Spanish Literature and Culture,,8:00 AM,3:45 PM
06M540,208,433,445,418,A. Philip Randolph Campus High School,9,12,10031,1360,,Biology; Calculus AB; Computer Science A; English Language and Composition; English Literature and Composition; Macroeconomics; Physics B; Psychology; Spanish Language and Culture; Spanish Literature and Culture; United States History; World History,,8:00 AM,2:20 PM
06M552,59,357,362,346,Gregorio Luperon High School for Science and Mathematics,9,12,10032,491,,Biology; Calculus AB; Chemistry; Computer Science A; Music Theory; Physics B; Spanish Language and Culture; Spanish Literature and Culture; United States Government and Politics,United States Government and Politics,8:00 AM,3:30 PM
07X221,71,382,376,372,South Bronx Preparatory: A College Board School,6,12,10454,644,,Biology; English Language and Composition; Psychology; Spanish Language and Culture; Studio Art: 2-D Design; United States History,Spanish Language and Culture,8:00 AM,3:00 PM
07X321,12,361,341,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07X334,44,314,326,303,International Community High School,9,12,10454,437,International School,,,9:00 AM,4:00 PM
07X379,s,s,s,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07X381,s,s,s,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07X427,52,343,340,352,Community School for Social Justice,9,12,10451,335,Consortium School,,,8:30 AM,3:00 PM
07X473,45,405,396,403,Mott Haven Village Preparatory High School,9,12,10455,344,,English Literature and Composition; United States History,,8:30 AM,3:00 PM
07X495,67,426,406,424,University Heights Secondary School,9,12,10455,466,Consortium School,Biology; English Language and Composition; United States History,Biology; English Language and Composition; United States History,8:45 AM,3:00 PM
07X500,62,439,436,434,Hostos-Lincoln Academy of Science,6,12,10455,537,,Calculus AB; English Language and Composition; English Literature and Composition; Spanish Language and Culture; Statistics,,8:00 AM,2:30 PM
07X520,22,425,405,415,Foreign Language Academy of Global Studies,9,12,10455,189,,English Literature and Composition,,7:30 AM,3:00 PM
07X522,s,s,s,s,Bronx Design and Construction Academy,9,12,10451,429,CTE School,Biology; Calculus AB; English Language and Composition; English Literature and Composition; United States History,,8:00 AM,3:30 PM
