DBN,school_name,gender,cohort_num
08X377,BRONX COMMUNITY HIGH SCHOOL,Female,55
08X377,BRONX COMMUNITY HIGH SCHOOL,Male,52
08X405,HERBERT H LEHMAN HIGH SCHOOL,Female,386
08X405,HERBERT H LEHMAN HIGH SCHOOL,Male,596
08X452,BRONX GUILD HIGH SCHOOL,Female,44
08X452,BRONX GUILD HIGH SCHOOL,Male,41
08X519,FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUB,Female,51
08X519,FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUB,Male,30
08X530,BANANA KELLY HIGH SCHOOL,Female,58
08X530,BANANA KELLY HIGH SCHOOL,Male,41
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,Female,67
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,Male,59
08X560,HS 560 BRONX ACADEMY HIGH SCHOOL,Female,97
08X560,HS 560 BRONX ACADEMY HIGH SCHOOL,Male,79
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,Female,255
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,Male,107
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,Female,45
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,Male,46
09X231,EAGLE ACADEMY FOR YOUNG MEN,Male,117
09X239,URBAN ASSEMBLY ACAD-HISTORY AND CITIZENSHIP FOR YO,Male,83
09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE,Female,31
09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE,Male,40
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY,Female,29
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY,Male,28
09X252,MOTT HALL BRONX HIGH SCHOOL,Female,53
09X252,MOTT HALL BRONX HIGH SCHOOL,Male,48
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,Female,52
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,Male,47
09X263,VALIDUS PREPARATORY ACADEMY,Female,67
09X263,VALIDUS PREPARATORY ACADEMY,Male,35
09X276,LEADERSHIP INSTITUTE,Female,37
09X276,LEADERSHIP INSTITUTE,Male,49
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,Female,54
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,Male,52
09X329,DREAMYARD PREPARATORY SCHOOL,Female,58
09X329,DREAMYARD PREPARATORY SCHOOL,Male,32
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,Female,45
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,Male,45
09X403,BRONX INTERNATIONAL HIGH SCHOOL,Female,54
09X403,BRONX INTERNATIONAL HIGH SCHOOL,Male,50
09X404,SCHOOL FOR EXCELLENCE,Female,62
09X404,SCHOOL FOR EXCELLENCE,Male,63
09X412,BRONX HIGH SCHOOL OF BUSINESS,Female,57
09X412,BRONX HIGH SCHOOL OF BUSINESS,Male,65
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,Female,58
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,Male,12
09X414,JONATHAN LEVIN HS OF MEDIA AND COMMUNICATIONS,Female,70
09X414,JONATHAN LEVIN HS OF MEDIA AND COMMUNICATIONS,Male,62
09X505,BRONX SCHOOL FOR LAW GOVERNMENT AND JUSTICE,Female,64
09X505,BRONX SCHOOL FOR LAW GOVERNMENT AND JUSTICE,Male,35
09X517,FREDERICK DOUGLAS ACADEMY III SECONDARY SCHOOL,Female,47
09X517,FREDERICK DOUGLAS ACADEMY III SECONDARY SCHOOL,Male,42
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,Female,87
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,Male,79
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,Female,42
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,Male,8
10X141,RIVERDALE/KINGSBRIDGE ACADEMY (MS/HS 141),Female,81
10X141,RIVERDALE/KINGSBRIDGE ACADEMY (MS/HS 141),Male,79
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,Female,17
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,Male,80
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,Female,53
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,Male,32
10X237,"MARIE CURIE HIGH SCH-NURSING, MEDICINE & APPLIED H",Female,59
10X237,"MARIE CURIE HIGH SCH-NURSING, MEDICINE & APPLIED H",Male,20
10X243,WEST BRONX ACADEMY FOR THE FUTURE,Female,23
10X243,WEST BRONX ACADEMY FOR THE FUTURE,Male,49
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,Female,70
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,Male,65
10X284,BRONX SCHOOL OF LAW AND FINANCE,Female,53
10X284,BRONX SCHOOL OF LAW AND FINANCE,Male,45
10X319,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH,Female,54
10X319,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH,Male,38
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,Female,55
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,Male,44
10X368,IN TECH ACADEMY (MS/HS 368),Female,68
10X368,IN TECH ACADEMY (MS/HS 368),Male,50
10X374,KNOWLEDGE AND POWER PREP ACADEMY INTERNATIONAL HIG,Female,67
10X374,KNOWLEDGE AND POWER PREP ACADEMY INTERNATIONAL HIG,Male,47
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPOR,Female,5
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPOR,Male,4
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,Female,67
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,Male,53
10X434,BELMONT PREP HIGH SCHOOL,Female,44
10X434,BELMONT PREP HIGH SCHOOL,Male,30
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,Female,51
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,Male,18
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS & TECHNOLO,Female,50
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS & TECHNOLO,Male,79
10X439,BRONX HIGH SCHOOL-LAW AND COMMUNITY SERVICES,Female,54
10X439,BRONX HIGH SCHOOL-LAW AND COMMUNITY SERVICES,Male,41
10X440,DEWITT CLINTON HIGH SCHOOL,Female,540
10X440,DEWITT CLINTON HIGH SCHOOL,Male,502
10X442,THE CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,Female,52
10X442,THE CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,Male,33
10X445,BRONX HIGH SCHOOL OF SCIENCE,Female,317
10X445,BRONX HIGH SCHOOL OF SCIENCE,Male,411
10X475,JOHN F KENNEDY HIGH SCHOOL,Female,140
10X475,JOHN F KENNEDY HIGH SCHOOL,Male,239
10X477,MARBLE HILL HIGH SCHOOL OF INTERNATIONAL STUDIES,Female,50
10X477,MARBLE HILL HIGH SCHOOL OF INTERNATIONAL STUDIES,Male,44
10X546,BRONX THEATRE HIGH SCHOOL,Female,71
10X546,BRONX THEATRE HIGH SCHOOL,Male,34
10X549,DISCOVERY HIGH SCHOOL,Female,51
10X549,DISCOVERY HIGH SCHOOL,Male,69
10X660,GRACE H DODGE CAREER AND TECHNICAL HIGH SCHOOL,Female,215
10X660,GRACE H DODGE CAREER AND TECHNICAL HIGH SCHOOL,Male,137
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,Female,38
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,Male,46
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,Female,40
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,Male,18
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION AR,Female,66
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION AR,Male,50
11X265,BRONX LAB SCHOOL,Female,43
11X265,BRONX LAB SCHOOL,Male,47
11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,Female,40
11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,Male,45
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,Female,16
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,Male,113
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,Female,39
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,Male,64
11X290,BRONX ACADEMY OF HEALTH CAREERS,Female,88
11X290,BRONX ACADEMY OF HEALTH CAREERS,Male,27
11X299,ASTOR COLLEGIATE ACADEMY,Female,58
11X299,ASTOR COLLEGIATE ACADEMY,Male,59
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,Female,173
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,Male,224
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,Female,25
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,Male,34
11X455,HARRY S TRUMAN HIGH SCHOOL,Female,256
11X455,HARRY S TRUMAN HIGH SCHOOL,Male,362
11X513,NEW WORLD HIGH SCHOOL,Female,31
11X513,NEW WORLD HIGH SCHOOL,Male,25
11X514,THE BRONX PREPARATORY ACADEMY,Female,18
11X514,THE BRONX PREPARATORY ACADEMY,Male,50
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,Female,48
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,Male,55
