DBN,school_0me,male,female,male_ratio,female_ratio
12X388,PAN AMERICAN INTER0TIO0L HIGH SCHOOL AT MONROE,3,1,0.75,0.25
12X446,ARTURO SCHOMBURG SATELLITE ACADEMY-BRONX,48,88,0.352941176,0.647058824
12X480,BRONX REGIO0L HIGH SCHOOL,56,102,0.35443038,0.64556962
12X550,HIGH SCHOOL OF WORLD CULTURES,54,43,0.556701031,0.443298969
12X680,BRONX COALITION COMMUNITY HIGH SCHOOL,43,16,0.728813559,0.271186441
12X682,FANNIE LOU HAMER FREEDOM SCHOOL,62,71,0.466165414,0.533834586
12X684,WINGS ACADEMY,66,73,0.474820144,0.525179856
12X690,MONROE ACADEMY FOR BUSINESS/LAW,65,52,0.555555556,0.444444444
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,44,63,0.411214953,0.588785047
13K265,DR SUSAN S MCKINNEY SECONDARY SCHOOL OF THE ARTS,22,50,0.305555556,0.694444444
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,1,0,1,0
13K350,THE URBAN ASSEMBLY SCHOOL OF MUSIC AND ART AT WATE,46,41,0.528735632,0.471264368
13K412,"BROOKLYN COMMUNITY HIGH SCH-COMMUNICATION, ARTS &",46,58,0.442307692,0.557692308
13K419,SCIENCE SKILLS CENTER HIGH SCHOOL AT WATERS EDGE,145,89,0.61965812,0.38034188
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,680,446,0.603907638,0.396092362
13K439,BROOKLYN INTER0TIO0L HIGH SCHOOL AT WATERS EDGE,47,47,0.5,0.5
13K483,URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,22,66,0.25,0.75
13K499,ACORN COMMUNITY HIGH SCHOOL,91,83,0.522988506,0.477011494
13K509,FREEDOM ACADEMY HIGH SCHOOL,29,28,0.50877193,0.49122807
13K553,BROOKLYN ACADEMY HIGH SCHOOL,41,46,0.471264368,0.528735632
13K575,BEDFORD STUYVESANT PREP HIGH SCHOOL,23,45,0.338235294,0.661764706
13K595,BEDFORD ACADEMY HIGH SCHOOL,33,57,0.366666667,0.633333333
13K605,GEORGE WESTINGHOUSE CAREER & TECHNICAL ED HIGH SCH,115,31,0.787671233,0.212328767
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY,43,43,0.5,0.5
13K670,BENJAMIN BANNEKER ACADEMY,69,93,0.425925926,0.574074074
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,38,61,0.383838384,0.616161616
14K322,FOUNDATIONS ACADEMY,37,36,0.506849315,0.493150685
14K404,ACADEMY FOR YOUNG WRITERS,24,53,0.311688312,0.688311688
14K449,BROOKLYN LATIN SCHOOL (THE),20,15,0.571428571,0.428571429
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,47,39,0.546511628,0.453488372
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIO0L CAREERS,85,130,0.395348837,0.604651163
14K477,SCHOOL FOR LEGAL STUDIES,78,95,0.450867052,0.549132948
14K478,"HIGH SCHOOL OF ENTERPRISE, BUSINESS & TECHNOLOGY",146,68,0.682242991,0.317757009
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,40,41,0.49382716,0.50617284
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESI,80,22,0.784313725,0.215686275
14K561,WILLIAMSBURG PREPARATORY SCHOOL,49,62,0.441441441,0.558558559
14K586,LYONS COMMUNITY SCHOOL,47,44,0.516483516,0.483516484
14K610,AUTOMOTIVE HIGH SCHOOL,227,14,0.941908714,0.058091286
14K632,FRANCES PERKINS ACADEMY,1,0,1,0
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,27,18,0.6,0.4
15K027,AGNES Y HUMPHREY SCHOOL FOR LEADERSHIP,3,4,0.428571429,0.571428571
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,37,39,0.486842105,0.513157895
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIE,37,40,0.480519481,0.519480519
15K462,SECONDARY SCHOOL FOR LAW,29,74,0.281553398,0.718446602
15K463,SECONDARY SCHOOL FOR JOUR0LISM,49,52,0.485148515,0.514851485
15K464,SECONDARY SCHOOL FOR RESEARCH,40,44,0.476190476,0.523809524
15K497,SCHOOL FOR INTER0TIO0L STUDIES,40,47,0.459770115,0.540229885
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,65,79,0.451388889,0.548611111
15K520,PACIFIC HIGH SCHOOL,42,53,0.442105263,0.557894737
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,62,39,0.613861386,0.386138614
15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,65,54,0.546218487,0.453781513
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,38,58,0.395833333,0.604166667
15K667,SUNSET PARK HIGH SCHOOL,1,0,1,0
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,36,45,0.444444444,0.555555556
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,36,27,0.571428571,0.428571429
16K455,BOYS AND GIRLS HIGH SCHOOL,348,228,0.604166667,0.395833333
